time,open,high,low,close,Volume,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1629984600,71.335,71.755,70.22,70.49,53502484,67.39243032713394,68.82042893706982,66.7949445329142,67.87578051521835,0.024377991402974742,60.91125996759062,59.180660910315,NaN,NaN,NaN,NaN,NaN,NaN
1630071000,70.845,72.8,70.57,72.55,46159920,67.63410542117614,69.14143283703146,67.1443027315582,68.1986687353785,0.12176283591362792,65.89007493430157,59.30636744536175,NaN,NaN,NaN,NaN,NaN,NaN
1630330200,73,75.26,72.975,74.955,45635190,67.91638707827732,69.55858642834357,67.51563942313537,68.60816684191948,0.4729275961074214,70.59850638249681,60.11917195003928,NaN,NaN,NaN,NaN,NaN,NaN
1630416600,75.11,75.15,73.845,74.745,45897938,68.2622769600984,70.02267812407008,67.93439251498225,69.0840898110281,0.5989590633304176,69.6938598939726,60.98803474192793,NaN,NaN,NaN,NaN,NaN,NaN
1630503000,75.415,76.41,75.035,75.155,47783966,68.67318338556325,70.54450221380203,68.40491429410457,69.61490304452961,0.646093585962252,70.48895168799596,61.74489146686482,NaN,NaN,NaN,NaN,NaN,NaN
1630589400,75.975,76.17,74.3,75.05,47649418,69.14404321504644,71.07978934118286,68.92455032203479,70.16061593490569,0.5065343567830011,69.9825831209217,62.307989440402935,NaN,NaN,NaN,NaN,NaN,NaN
1630675800,74.35,75.97,74.33,75.725,46647394,69.65232957497606,71.59978190277886,69.4727444806938,70.68900668185478,0.7869566593840406,71.40471313396898,62.94465926838087,NaN,NaN,NaN,NaN,NaN,NaN
1631021400,75.775,76.44,75.08,76.035,45185344,70.17066812841541,72.1078833067306,70.0237348694572,71.21275563867674,0.7943298303447922,72.05941574494503,64.26879569630805,NaN,NaN,NaN,NaN,72.05941574494503,NaN
1631107800,75.905,75.925,73.855,75.255,63423020,70.69171188354608,72.57420298022785,70.55134932388168,71.6963312002294,0.3707979967498692,67.85004345718652,65.83812323960301,NaN,NaN,NaN,NaN,NaN,NaN
1631194200,75.365,76.05,74.295,74.45,55286758,71.19402154188774,73.00126977057799,71.02830282398793,72.13058157779011,0.13261757563370974,63.71344245503394,66.84854608163894,NaN,NaN,NaN,NaN,NaN,NaN
1631280600,75.5,75.925,72.555,72.775,69217740,71.66230155983892,73.3838096956693,71.39805507367929,72.48931673705671,0.006559818159651254,56.05544959264338,66.81121509193522,NaN,NaN,NaN,NaN,NaN,NaN
1631539800,74.145,74.39,71.38,72.61,77774688,72.07580914844782,73.67315263079095,71.64497831277254,72.75068269534074,0.001599405550877088,55.34969624872324,66.15891378215939,NaN,NaN,NaN,NaN,NaN,NaN
1631626200,73.475,73.93,71.41,71.985,59629156,72.41324592189427,73.8753358309702,71.80250615670198,72.9239712229411,1.7342127109109033e-7,52.64586178050406,65.20339316053251,NaN,NaN,NaN,NaN,NaN,NaN
1631712600,72.245,73.78,70.8825,73.58,55892624,72.66860857241768,74.00753001188457,71.87754525365634,73.02998763487388,0.005283361385660144,58.250885788524684,64.63533887062921,NaN,NaN,NaN,NaN,NaN,NaN
1631799000,72.775,74.06495,71.62,73.725,52615422,72.84929810364576,74.09792181855006,71.91926414488508,73.10149448468428,0.004688070781399627,58.729135921664444,64.47947286734878,NaN,NaN,NaN,NaN,NaN,NaN
1631885400,73.45,73.465,70.48,71.12,77325186,72.97539629416501,74.13750900091127,71.89961268711637,73.11720586398928,-0.001807231615355222,48.07433120997238,63.2069197441824,NaN,NaN,NaN,NaN,NaN,NaN
1632144600,67.71,68.73,64,66.745,121913630,73.04630107907714,73.99712056641498,71.62531335796159,72.91876618025167,-0.0738312234878247,36.19698751114628,60.749668396228785,NaN,NaN,36.19698751114628,NaN,NaN,NaN
1632231000,67.69,68.375,66.295,66.83,71700642,72.98253362966439,73.76047684657718,71.26548278694187,72.60009941079916,-0.2122049361878469,36.525108184284555,58.38047184553678,NaN,NaN,NaN,NaN,NaN,NaN
1632317400,67.43,69.615,66.805,68.785,87669416,72.79131652023176,73.42781551588767,70.87715049437689,72.23995555981692,-0.056223249758919326,43.697040059604795,56.46676387208027,NaN,NaN,NaN,NaN,NaN,NaN
1632403800,69.455,71.285,69.085,70.695,69369572,72.51563604002433,73.12931468512588,70.55794786896142,71.92911693032246,-0.002314627072321497,49.67913834519269,55.016517816671055,NaN,NaN,NaN,NaN,NaN,NaN
1632490200,69.36,71.125,69.15,70.895,54775196,72.2223764851734,72.86323347824812,70.29772304140359,71.66164257734445,-0.0007173283389362827,50.274909145949216,53.507246103241066,NaN,NaN,NaN,NaN,50.274909145949216,NaN
1632749400,69.105,69.7,67.7,69.185,78355460,71.94200953125892,72.58054329915646,70.03764780836391,71.39203933023208,-0.019422836559374754,45.332983103441705,51.59821520027655,NaN,NaN,NaN,NaN,NaN,NaN
1632835800,66.57,66.94495,63.035,63.415,148822906,71.6670244307455,72.20500381400728,69.63205536944103,70.99996436876901,-1,33.401887161752384,49.13763260774554,NaN,NaN,NaN,NaN,NaN,NaN
1632922200,63.98,65.145,62.65,62.995,97530602,71.33349439975726,71.77365934969872,69.12973132786651,70.49593189477245,-1,32.726696588328,46.924293617266535,NaN,NaN,NaN,NaN,NaN,NaN
1633008600,63.89,64.77,62.04,62.285,117312028,70.91471314726485,71.27484810630787,68.55909353713095,69.918862820617,-1,31.565097551368396,45.17498275717547,NaN,NaN,NaN,NaN,NaN,NaN
1633095000,62.625,64.00495,60.42,63.42,104353980,70.41678798394092,70.71144385952157,67.90803539499785,69.29119260335203,-0.5466314089714746,35.50599912746986,43.757575819943085,NaN,NaN,NaN,NaN,NaN,NaN
