time,open,high,low,close,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1402579800,2.965001,2.965001,2.919172,2.931664,2.675743695519869,2.745973422290617,2.674443845637466,2.726341920414933,0.6288964538339947,77.40840859458602,70.69553968000331,NaN,NaN,NaN,NaN,NaN,NaN
1402666200,3.037497,3.096247,3.037497,3.09083,2.701042807967401,2.774625359988306,2.6999792944272536,2.754635044943941,1,83.5784974902994,72.55433327206937,NaN,NaN,NaN,NaN,NaN,NaN
1402925400,3.102914,3.126247,3.080664,3.109997,2.7278389264556715,2.8054294386127654,2.7269687790137325,2.785155911944552,1,84.1402305576421,74.1326488328108,NaN,NaN,NaN,NaN,NaN,NaN
1403011800,3.117497,3.163747,3.109164,3.151664,2.756497419200112,2.8378955593907005,2.75578548038398,2.8171694539220002,1,85.31615561716933,75.63789169768923,NaN,NaN,NaN,NaN,85.31615561716933,NaN
1403098200,3.134164,3.149164,3.054997,3.11958,2.7868334365610563,2.8699189440638406,2.786250941166039,2.848428330653284,0.6106192599268425,80.37439770982196,76.76676065334784,NaN,NaN,NaN,NaN,NaN,NaN
1403184600,3.117914,3.117914,3.08683,3.10883,2.8176308836071704,2.899554269537138,2.8171542964657927,2.8779303446418862,0.41430636897882506,78.72893069453087,77.68204626074393,NaN,NaN,NaN,NaN,NaN,NaN
1403271000,3.149997,3.149997,3.11833,3.13208,2.8477806141245283,2.927671891728779,2.847390679190674,2.9062637806295655,0.3914028761988501,79.69705189424349,78.53137260894809,NaN,NaN,NaN,NaN,NaN,NaN
1403530200,3.144997,3.162076,3.117914,3.12508,2.877022197377047,2.954243328345372,2.8767031597038932,2.9328755177575307,0.2639829594505093,78.53806014558887,79.04922897795129,NaN,NaN,NaN,NaN,NaN,NaN
1403616600,3.109997,3.196663,3.096664,3.11708,2.904948857567289,2.9800446924161372,2.9046878267437997,2.9572098370660846,0.16823303049076258,77.15707042024607,79.35558739066609,NaN,NaN,NaN,NaN,NaN,NaN
1403703000,3.113751,3.146664,3.108664,3.14458,2.931079347316687,3.0028247562183474,2.930865776642923,2.9791594198407005,0.17103783060229955,78.55312285815488,79.65027957173031,NaN,NaN,NaN,NaN,NaN,NaN
1403789400,3.12958,3.12958,3.094997,3.114784,2.955119383578694,3.022264476409303,2.954358504012315,2.998417432447156,0.07580113311278626,73.32425637070224,79.44964379529408,NaN,NaN,73.32425637070224,NaN,NaN,NaN
