time,open,high,low,close,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1438090200,9.73625,9.8525,9.58125,9.8125,9.711302465576475,9.8670448445702,9.645203105595126,9.771756405889578,0.001824987630896689,53.01756771012125,57.173205715682585,NaN,NaN,NaN,NaN,NaN,NaN
1438176600,9.85375,9.93125,9.7825,9.89375,9.741529435733026,9.883594946819247,9.66546547904635,9.788083855811914,0.005437196835533961,54.946810702078295,58.5384324557394,NaN,NaN,NaN,NaN,NaN,NaN
1438263000,9.84,10.015,9.72625,9.9825,9.76480664577247,9.899017909586982,9.681038952875804,9.80241392209672,0.01384205777518491,57.022773176037234,59.32439154704821,NaN,NaN,NaN,NaN,NaN,NaN
1438349400,10.04625,10.054363,9.9175,9.95875,9.783610283934594,9.914477747155896,9.699281065013675,9.818347332680872,0.007574640695022069,56.27547645778527,59.43711725830214,NaN,NaN,NaN,NaN,NaN,NaN
1438608600,9.96125,10.015,9.76625,9.90375,9.800978808307732,9.92814994430018,9.713706575948493,9.832094993231227,0.0019089115789216015,54.494408690872255,59.20992777323236,NaN,NaN,NaN,NaN,NaN,NaN
1438695000,9.88875,9.91875,9.775125,9.8575,9.81653690076948,9.936991664890977,9.725393684063585,9.842221485228364,0.0002791647570074323,52.97604936108775,58.83698502954677,NaN,NaN,NaN,NaN,NaN,NaN
1438781400,9.9675,10.14125,9.94695,10.0075,9.829379192998921,9.949662844298336,9.740541461097205,9.854738509285015,0.005943478437010264,57.146413679861006,58.35132074160771,NaN,NaN,NaN,NaN,57.146413679861006,NaN
1438867800,10.0225,10.0525,9.6,9.695,9.842058851141967,9.961544779461995,9.746035709818978,9.862713095330045,-0.0005052049910848552,47.66272666192138,56.83483256528002,NaN,NaN,NaN,NaN,NaN,NaN
1438954200,9.6425,9.71,9.50625,9.6625,9.852385973236006,9.961183272275289,9.741786877646975,9.860368790274899,-0.0005102139962773832,46.79299142648746,55.17049095759565,NaN,NaN,NaN,NaN,NaN,NaN
1439213400,9.78,9.925,9.78,9.88125,9.856377381755452,9.959745130364343,9.740205861807965,9.85817776655121,0.00005466374001050977,53.00850257591744,54.00239790513505,NaN,NaN,NaN,NaN,NaN,NaN
1439299800,9.775,9.85625,9.5225,9.63375,9.857277574153331,9.955361080643318,9.731950607839439,9.851378725329527,-0.0000931735539994408,46.40353222498207,52.916197973694715,NaN,NaN,46.40353222498207,NaN,NaN,NaN
1439386200,9.4975,9.73375,9.29375,9.69125,9.854328149741429,9.945100317420373,9.711938392940196,9.836998665492548,-0.00018826279499427952,48.023873778328465,52.13814096737349,NaN,NaN,NaN,NaN,NaN,NaN
1439472600,9.715,9.8075,9.62275,9.65625,9.845663407616987,9.93368277121591,9.695593409645987,9.82285585963498,-0.000685320039384555,47.09064120748372,51.69416148714856,NaN,NaN,NaN,NaN,NaN,NaN
1439559000,9.61875,9.71875,9.58,9.6875,9.834259633625983,9.918934404873553,9.680830456873963,9.807715440519255,-0.0003442411604323129,48.06113292170691,51.63735004104787,NaN,NaN,NaN,NaN,NaN,NaN
1439818200,9.64375,9.8575,9.5975,9.84875,9.820987537072618,9.907030642119627,9.668193093220824,9.79523828588743,0.00002137588023621537,52.86546426713229,51.6264855094058,NaN,NaN,NaN,NaN,NaN,NaN
1439904600,9.82625,9.84125,9.725,9.75375,9.808112911480023,9.896887440867177,9.661611284718447,9.786599007633484,-0.00000775741154130384,49.934887380636965,51.268490986445705,NaN,NaN,NaN,NaN,NaN,NaN
1439991000,9.695,9.795,9.51,9.6225,9.797355959556754,9.886729184132324,9.652193337383189,9.776485969872297,-0.001046720522627826,46.13013671794185,50.49044552515318,NaN,NaN,NaN,NaN,NaN,NaN
1440077400,9.44375,9.5075,9.0875,9.095,9.786920964714525,9.867392526842634,9.627221212724605,9.753416962119031,-0.2243806553395,34.68993963940916,48.94862146669774,NaN,NaN,NaN,NaN,NaN,NaN
1440163800,8.83875,8.984413,8.315,8.315,9.770168963416777,9.836009332430685,9.567125122243251,9.700283949916628,-1,24.86882383023334,46.83250826236639,NaN,NaN,NaN,NaN,NaN,NaN
1440423000,6.98125,8.3125,6.875,7.68875,9.735226456666702,9.789095849496263,9.437899636144387,9.590801224395461,-1,19.978315754392312,44.47552729045957,NaN,NaN,NaN,NaN,NaN,NaN
1440509400,8.225,8.32125,7.59,7.59875,9.66301384053108,9.707088798300722,9.290305727726324,9.46273258253764,-1,19.38822838950516,41.77851405543415,NaN,NaN,19.38822838950516,NaN,NaN,NaN
1440595800,8.03625,8.39125,7.725,8.36,9.56287321153436,9.598934540618611,9.13975755010014,9.332881422862979,-0.17608732345967518,36.47845976211484,40.97963784830511,NaN,NaN,NaN,NaN,NaN,NaN
1440682200,8.60125,8.79625,8.40125,8.78,9.44787731719867,9.491159931964456,9.014563892347068,9.223206054060503,-0.024774532034839057,43.584891263886526,40.75048783669076,NaN,NaN,NaN,NaN,NaN,NaN
1440768600,8.7025,8.8425,8.65375,8.79,9.335541685629586,9.397569989577311,8.918828835757093,9.134050854975854,-0.013859424004706238,43.74625924092786,40.08889902704865,NaN,NaN,NaN,NaN,43.74625924092786,NaN
1441027800,8.68375,8.7775,8.52,8.56375,9.23479627030272,9.314420689646171,8.841557307436297,9.057912222366268,-0.029053108949259214,40.896051131422325,39.695507520365815,NaN,NaN,NaN,NaN,NaN,NaN
1441114200,8.145,8.393738,7.95625,8.04625,9.146354246334493,9.228322970199832,8.760563728727787,8.976444122111378,-0.1442759047002403,35.24039645538757,38.782401997298614,NaN,NaN,NaN,NaN,NaN,NaN
1441200600,8.31,8.4825,8.136225,8.4825,9.061399184222935,9.146032001968818,8.685705589964973,8.901291497242854,-0.021631376284271035,42.46395628387411,38.45192450275506,NaN,NaN,NaN,NaN,NaN,NaN
1441287000,8.5525,8.66,8.35,8.39,8.981345340732894,9.074877485980492,8.624496237901768,8.837324318703002,-0.023287250991311164,41.40924076364937,37.9767893486081,NaN,NaN,NaN,NaN,NaN,NaN
1441373400,8.1625,8.307488,8.10125,8.19375,8.909334829717947,9.001876876567465,8.56622398609411,8.773145386996061,-0.040789525083419736,39.185457679494014,36.999646020919656,NaN,NaN,NaN,NaN,NaN,NaN
1441719000,8.515,8.675,8.44275,8.65375,8.841240108357004,8.942202852858992,8.523133503938766,8.723520800084934,-0.001226506381243251,46.44527654693771,36.75038810422684,NaN,NaN,NaN,NaN,NaN,NaN
1441805400,8.8625,8.865,8.4175,8.46375,8.782380454220968,8.899703618711701,8.490795792613659,8.687942909670545,-0.004182512619124405,44.10336482698421,36.605618683444156,NaN,NaN,NaN,NaN,NaN,NaN
1441891800,8.44125,8.75625,8.4275,8.64,8.735161681945756,8.866511449779656,8.4670558108964,8.660103399238745,-0.00032026961275970347,46.783962924785605,37.46947748954248,NaN,NaN,NaN,NaN,NaN,NaN
1441978200,8.56375,8.7375,8.5175,8.7375,8.69763254059225,8.840027057361358,8.452831333518848,8.640771465834359,-0.00000548598850569634,48.26210099256849,39.1404258582807,NaN,NaN,NaN,NaN,NaN,NaN
1442237400,8.8025,8.805,8.62125,8.68375,8.669202003213304,8.821139916738815,8.448876721934907,8.630717974354253,-0.00001713416376337461,47.479151127285306,41.10477124205877,NaN,NaN,NaN,NaN,NaN,NaN
1442323800,8.725,8.945,8.6675,8.885,8.64995998878378,8.812591007173681,8.453456635769296,8.629770001566605,0.000058508167553424846,50.70380588566884,43.34159820607046,NaN,NaN,NaN,NaN,NaN,NaN
1442410200,8.89625,9.0075,8.8325,8.98875,8.639864995175191,8.81331145590533,8.46905288764953,8.639101689152836,0.00014440312164579907,52.328773511916516,44.473763473913436,NaN,NaN,NaN,NaN,NaN,NaN
1442496600,8.9825,9.265,8.922625,8.9975,8.639483342164015,8.828725592464355,8.494487473200778,8.658664374589806,0.0000073499354678236715,52.471069937468954,45.108490522026464,NaN,NaN,NaN,NaN,52.471069937468954,NaN
1442583000,8.725,8.9525,8.715,8.7475,8.64907385837691,8.843135862641411,8.518803601604478,8.67593644088762,1.6250822482562936e-10,48.05726296125987,45.41641935919305,NaN,NaN,NaN,NaN,NaN,NaN
1442842200,8.83875,8.9375,8.64125,8.79875,8.662505149632265,8.85590188275526,8.53912915527623,8.691734305404747,3.6836906397162334e-7,49.00429690454697,45.99557977155909,NaN,NaN,NaN,NaN,NaN,NaN
1442928600,8.5225,8.5875,8.3725,8.5375,8.677119727518505,8.855574941418077,8.54722711582422,8.696136700481345,-0.00003546943983054052,44.54574287874339,46.66024737322737,NaN,NaN,NaN,NaN,NaN,NaN
1443015000,8.575,8.62375,8.46125,8.5425,8.686628213999924,8.847692445434737,8.549805845915877,8.694273454194395,-0.00006046454174651305,44.64953861288957,46.81636039672848,NaN,NaN,NaN,NaN,NaN,NaN
1443101400,8.3725,8.54625,8.23625,8.49,8.69045083409716,8.832450693729038,8.541166620740345,8.683670009847118,-0.0001694087415480509,43.72411698879767,46.98170869852478,NaN,NaN,NaN,NaN,NaN,NaN
1443187800,8.6675,8.68,8.236238,8.34,8.687060421972138,8.81720784527385,8.525303052788448,8.66986983603292,-0.0010355343584340037,41.102850086047496,47.11866529899289,NaN,NaN,NaN,NaN,NaN,NaN
1443447000,8.2625,8.276875,7.81625,7.865,8.678465129002529,8.789141712166696,8.49124386919128,8.640310592866955,-0.021251978213745786,34.12595697907713,46.238713901288556,NaN,NaN,NaN,NaN,NaN,NaN
1443533400,7.90625,8.06375,7.66875,7.7875,8.659387860934741,8.749941428978152,8.441254039867843,8.594613972470997,-0.03375533461758543,33.137621819022044,45.45544654357697,NaN,NaN,33.137621819022044,NaN,NaN,NaN
1443619800,8.00375,8.1575,7.94125,8.13125,8.627000916702869,8.701196064983545,8.391260714787927,8.546298830801934,-0.005683649688717131,41.26321813717912,45.061107630176515,NaN,NaN,NaN,NaN,NaN,NaN
1443706200,8.16125,8.21125,7.9525,8.20625,8.586649873752402,8.652368306772823,8.343289622303425,8.500286667178779,-0.0023771047639031826,42.89386321618982,44.67766207472089,NaN,NaN,NaN,NaN,NaN,NaN
1443792600,7.985,8.50125,7.93375,8.49375,8.54346827046559,8.61468630973018,8.297638242299637,8.460498386830094,-0.0000032521825524233206,48.765668421155375,44.76955616714018,NaN,NaN,NaN,NaN,NaN,NaN
1444051800,8.61625,8.7875,8.58625,8.745,8.501983328647842,8.59517402047915,8.276619112138436,8.441243475627088,0.0002627367270329499,53.28617582506847,44.95401116281158,NaN,NaN,NaN,NaN,NaN,NaN
1444138200,8.705,8.7575,8.52375,8.6625,8.471613402137466,8.587478222865512,8.27071807088545,8.435657759015916,0.00004512567288291526,51.67393394805653,44.90723690825015,NaN,NaN,NaN,NaN,NaN,NaN
1444224600,8.76625,8.8,8.54125,8.76,8.453635580576691,8.5893520038724,8.27571099133972,8.441214998011217,0.00003917365131901374,53.46587034253213,44.97829408004038,NaN,NaN,NaN,NaN,NaN,NaN
1444311000,8.6925,8.86,8.52625,8.83,8.447425289293953,8.599553394335773,8.287335640855726,8.4543887696358,0.00022881811566151722,54.76279578798295,45.4572607105206,NaN,NaN,NaN,NaN,NaN,NaN
1444397400,8.8425,8.945,8.7925,8.90375,8.450907029464876,8.617802146816683,8.311817079263774,8.476977781396528,0.0008829155083360209,56.14944676041315,45.96762855736819,NaN,NaN,NaN,NaN,NaN,NaN
1444656600,8.9475,8.985,8.8825,8.955,8.463942405430702,8.642157025855418,8.347071031280276,8.507488515504237,0.0016872865197030673,57.13280774026972,46.86670461890578,NaN,NaN,NaN,NaN,NaN,NaN
1444743000,8.8475,9.03125,8.82125,8.83125,8.48571546046747,8.671323282869599,8.386346122091973,8.54032046096463,0.0005050553180942456,53.98473410490459,47.53350429690685,NaN,NaN,NaN,NaN,NaN,NaN
1444829400,8.83625,8.925,8.73375,8.81125,8.513017960716049,8.699233809205717,8.424122137524863,8.571761417480607,0.00031863513921601545,53.471926312649444,48.22977639146769,NaN,NaN,NaN,NaN,NaN,NaN
1444915800,8.875,9.1,8.85,9.1,8.542389689098327,8.731166184382598,8.463488820995645,8.606345482008471,0.004108567198662979,59.45948269264041,49.540964434795754,NaN,NaN,NaN,NaN,NaN,NaN
1445002200,9.13375,9.18375,9.05125,9.18,8.574367585553398,8.767503850926374,8.509271846426643,8.647045294394614,0.006680411246318832,60.958523496456635,51.45757632889429,NaN,NaN,NaN,NaN,NaN,NaN
1445261400,9.14875,9.29125,9.11,9.28375,8.610706439974006,8.809142988003568,8.557446289779387,8.692849043367334,0.011271531796602507,62.875713205680675,53.58172571365562,NaN,NaN,NaN,NaN,NaN,NaN
1445347800,9.2525,9.28375,9.125,9.1875,8.651777741670669,8.852706609088184,8.608201255147799,8.740679270584861,0.03195941342596632,59.93523229447733,54.9154410106055,NaN,NaN,NaN,NaN,NaN,NaN
1445434200,9.26875,9.2935,9.06375,9.07125,8.696228506127765,8.896440715464225,8.659008170026523,8.787032835231807,0.01190718259291043,56.49847343893332,55.887198883658606,NaN,NaN,NaN,NaN,NaN,NaN
1445520600,9.22875,9.45375,9.1825,9.4425,8.741630670679786,8.944140713436147,8.710324925605617,8.835908929409289,0.1106483931378562,63.66419374705942,56.95137926408032,NaN,NaN,NaN,NaN,NaN,NaN
1445607000,9.94,10.045,9.8475,9.97,8.788769800044538,9.012464159568221,8.763156008620218,8.905477755117875,0.7555646039803026,70.97907514494013,58.21515778692831,NaN,NaN,NaN,NaN,NaN,NaN
1445866200,9.94875,10.01875,9.88,9.985,8.847123777581206,9.091466990133718,8.826167039143126,8.986846877943693,0.7818192363334534,71.15689000503829,59.60679750528415,NaN,NaN,NaN,NaN,NaN,NaN
1445952600,9.925,10.04875,9.925,10.01875,8.916985327762449,9.175998901830168,8.89983890540402,9.074127964200853,0.997581719651996,71.57884461329712,60.90058138176736,NaN,NaN,NaN,NaN,NaN,NaN
1446039000,10.06,10.1875,9.895,10.1875,8.995556645981651,9.266024432740016,8.981527754961117,9.165890411556445,1,73.65418781750331,62.2499665267331,NaN,NaN,NaN,NaN,NaN,NaN
1446125400,10.08875,10.18875,10.0725,10.15625,9.080723528769049,9.356792782101484,9.069245345206793,9.259075920561216,0.7666456820199199,72.59698645300334,63.424790790489546,NaN,NaN,NaN,NaN,NaN,NaN
1446211800,10.1625,10.19875,10.0625,10.0675,9.169899724665132,9.445388362017791,9.16050848356874,9.350009577975609,0.4467927803569723,69.54401291002878,64.31130544547233,NaN,NaN,69.54401291002878,NaN,NaN,NaN
1446474600,10.12125,10.3125,10.075,10.2975,9.25995465132037,9.533360994457045,9.25227090860514,9.439033032014148,0.741061957755116,72.74309342589684,65.65118825411463,NaN,NaN,NaN,NaN,NaN,NaN
1446561000,10.25,10.4325,10.22,10.36625,9.34949384166726,9.621975368421932,9.343207143082072,9.52765714481634,0.7282518429805122,73.6345838279436,67.09137807663565,NaN,NaN,NaN,NaN,NaN,NaN
1446647400,10.43,10.4425,10.27875,10.36875,9.4385754932418,9.708420515673735,9.43343183076301,9.615160653557762,0.5695247514871419,73.66831029302193,68.10629433380575,NaN,NaN,NaN,NaN,73.66831029302193,NaN
1446733800,10.375,10.43125,10.2,10.29875,9.52686807339978,9.790183944307628,9.52265962228077,9.697244468382754,0.3267857090330681,70.93226831402362,68.81870467791768,NaN,NaN,NaN,NaN,NaN,NaN
1446820200,10.2625,10.34625,10.13625,10.32375,9.612056270891268,9.863300489283784,9.608249763737103,9.771034229765345,0.2582270266896622,71.34164207440003,69.42341388282621,NaN,NaN,NaN,NaN,NaN,NaN
1447079400,10.24375,10.26875,9.97375,10.105,9.691545250328307,9.925649565200588,9.67762829599342,9.832886161607728,0.05377518750428376,62.983183331501294,69.64112467118505,NaN,NaN,NaN,NaN,NaN,NaN
1447165800,9.99375,10.0675,9.93375,10.04375,9.762215705968018,9.972076646923389,9.73253860945448,9.88013584617634,0.019216366390785222,60.83400608777193,69.95080557467352,NaN,NaN,NaN,NaN,NaN,NaN
1447252200,10.10625,10.19875,9.990125,10.02375,9.82117577607218,10.01064926702135,9.777812005756362,9.918363582253633,0.008516579227842202,60.11269532322663,69.69712711582834,NaN,NaN,NaN,NaN,NaN,NaN
1447338600,9.9375,10.034988,9.815,9.82625,9.869769679162907,10.037275193962254,9.80934834523923,9.943460526825914,0.000021472448881892625,53.38155003818988,68.44016103677474,NaN,NaN,NaN,NaN,NaN,NaN
1447425000,9.7475,9.76625,9.43125,9.44375,9.906615102994412,10.046139651039644,9.817960329678531,9.948813918586668,-0.008086152522472034,43.27488808796726,66.44858947126967,NaN,NaN,43.27488808796726,NaN,NaN,NaN
1447684200,9.42125,9.716725,9.38375,9.7125,9.92771451079054,10.041870959191185,9.809371316627864,9.939496514109596,-0.00012675051666279178,50.382921565668426,64.93459496786762,NaN,NaN,NaN,NaN,NaN,NaN
1447770600,9.75,9.865,9.674375,9.725,9.933605512450068,10.032604348036845,9.799158958581454,9.927113697422975,-0.0000634767473568582,50.69240269085401,63.294467458821245,NaN,NaN,NaN,NaN,NaN,NaN
