time,open,high,low,close,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1684503000,132,132.785,127.4,128.93,101.39154605184913,107.98194952151339,101.07292626486961,105.1653202244959,0.6064775564870776,72.18706967425847,63.48859056661432,NaN,NaN,NaN,NaN,NaN,NaN
1684762200,127.82,134.27,127.62,132.03,103.27843313817252,110.34545790934615,103.0177442215529,107.44354438522242,0.7468161272066453,73.680269246344,64.89109043577923,NaN,NaN,NaN,NaN,NaN,NaN
1684848600,129.17,133.7873,126.61,126.91,105.36098876169747,112.7025781389087,105.14769782991779,109.6851913230568,0.30500933054273377,67.25773677507041,66.1311642457042,NaN,NaN,NaN,NaN,NaN,NaN
1684935000,123.58,129.57,123.1,128.05,107.52309004237713,114.83808579212302,107.34857928001193,111.7276098079523,0.2695558578718486,67.9280836494026,67.2251603230925,NaN,NaN,NaN,NaN,NaN,NaN
1685021400,138.48,139.99,133.8734,137.35,109.62534992516471,117.09910874040293,109.48256839232046,113.94429458518145,0.7370028845884117,72.81736689022722,68.26162821970419,NaN,NaN,NaN,NaN,NaN,NaN
1685107800,138.07,152.4,137.35,150.51,111.78482225517308,119.77965769783317,111.66800100102779,116.4410242431553,1,77.94182060740943,69.37028308786226,NaN,NaN,NaN,NaN,NaN,NaN
1685453400,160.49,162.58,154.15,157.38,114.11292324916418,122.98896211734159,114.01734222304532,119.50772676648803,1,80.05561275727162,70.70987692890198,NaN,NaN,NaN,NaN,NaN,NaN
1685539800,153.27,159.38,149.91,153.36,116.81032500782611,126.34034897280287,116.73212235009248,122.70022261214092,0.6234110411509254,75.49656830309681,71.39166086301061,NaN,NaN,NaN,NaN,NaN,NaN
1685626200,152.48,164.7108,151.264,162.09,119.7552738099835,129.85228400917603,119.69128981729236,125.99225627370555,1,78.37649249645207,72.1245147575142,NaN,NaN,NaN,NaN,NaN,NaN
1685712600,166.66,172.44,163.41,165.57,122.87376504184452,133.61110716545306,122.82141450236995,129.55230339347344,1,79.41510258191289,73.29489132742405,NaN,NaN,NaN,NaN,NaN,NaN
1685971800,164.21,173.17,164.2,168.44,126.21303421765897,137.43507614889626,126.17020195808887,133.19011003088917,1,80.25731184930218,74.38631620908411,NaN,NaN,NaN,NaN,NaN,NaN
1686058200,167.38,173.5,165.56,171.38,129.70157212427407,141.1871520419815,129.66652754826217,136.82417529954304,1,81.10993078784206,75.37731309308072,NaN,NaN,NaN,NaN,81.10993078784206,NaN
1686144600,174.01,178.5,154.9535,156.73,133.26287371190853,144.9323548450557,133.23420087698972,140.2229859240289,0.17463930021090524,65.84923311758372,74.98343018201362,NaN,NaN,65.84923311758372,NaN,NaN,NaN
1686231000,156.2,166.5601,154.69,165.84,136.7429298179687,148.15444085884732,136.46475274104986,143.17919928673336,0.3385952168142479,69.67068499694652,74.43166312379432,NaN,NaN,NaN,NaN,NaN,NaN
1686317400,171.81,177.28,168.14,170.06,139.96106455235102,151.27420287274595,139.67446918753475,146.10503800766006,0.38304177147773555,71.27422027148596,74.36645959502485,NaN,NaN,NaN,NaN,NaN,NaN
